taxid,phylum,family,genus_species,gram_status,occupancy
2163016,Pseudomonadota,Vibrionaceae,Vibrio sp. dhg,Gram negative,33.0
2016101,Cyanobacteriota,Thermosynechococcaceae,Thermosynechococcus vestitus,Gram negative,14.0
2319843,Bacteroidota,Hymenobacteraceae,Hymenobacter oligotrophus,Gram negative,28.0
1905676,Pseudomonadota,Alteromonadaceae,Glaciecola sp.,Gram negative,33.0
2052162,Pseudomonadota,Gallionellaceae,Gallionellaceae bacterium,Gram negative,33.0
2060923,Bacillota,Clostridiales Family XVII. Incertae Sedis,Clostridiales bacterium UBA9857,Gram positive,17.0
1849603,Pseudomonadota,Enterobacteriaceae,Enterobacteriaceae bacterium,Gram negative,33.0
1917525,Bacillota,Sporomusaceae,Sporomusaceae bacterium,Gram positive,14.0
1960881,Bacteroidota,Spirosomataceae,Runella sp.,Gram negative,15.0
1869339,Pseudomonadota,Comamonadaceae,Polaromonas sp.,Gram negative,33.0
1409,Bacillota,Bacillaceae,Bacillus sp. (in,Gram positive,14.0
69393,Pseudomonadota,Erwiniaceae,Pantoea sp.,Gram negative,33.0
1895847,Pseudomonadota,Sphingomonadaceae,Sphingomonas bacterium,Gram negative,33.0
35783,Bacillota,Enterococcaceae,Enterococcus sp.,Gram positive,13.0
229037,Pseudomonadota,Morganellaceae,Proteus sp. (in,Gram negative,33.0
1912315,Pseudomonadota,Morganellaceae,Morganella sp. (in,Gram negative,33.0
1871070,Pseudomonadota,Oxalobacteraceae,Oxalobacteraceae bacterium,Gram negative,33.0
1920174,Pseudomonadota,Roseobacteraceae,Octadecabacter sp.,Gram negative,29.0
1965322,Pseudomonadota,Cellvibrionaceae,Cellvibrio sp.,Gram negative,33.0
29541,Pseudomonadota,Methylophilaceae,Methylophilus sp.,Gram negative,33.0
1137281,Bacteroidota,Flavobacteriaceae,Xanthomarina gelatinilytica,Gram negative,28.0
1332285,Campylobacterota,Helicobacteraceae,Helicobacter sp. MIT 99-10781,Gram negative,33.0
152489,Campylobacterota,Helicobacteraceae,Helicobacter sp. MIT 99-5507,Gram negative,33.0
2040649,Campylobacterota,Helicobacteraceae,Helicobacter sp. MIT 14-3879,Gram negative,33.0
60246,Campylobacterota,Helicobacteraceae,Helicobacter ganmani,Gram negative,32.0
361872,Campylobacterota,Helicobacteraceae,Helicobacter equorum,Gram negative,33.0
137778,Campylobacterota,Helicobacteraceae,Helicobacter aurati,Gram negative,33.0
375926,Campylobacterota,Helicobacteraceae,Helicobacter anseris,Gram negative,33.0
2283595,Pseudomonadota,Kangiellaceae,Kangiella sp. HD9-110m-PIT-SAG07,Gram negative,31.0
2258964,Bacteroidota,Weeksellaceae,Chryseobacterium sp. 5_R23647,Gram negative,9.0
1940533,Pseudomonadota,Paracoccaceae,Rhodosalinus sediminis,Gram negative,29.0
2258962,Bacteroidota,Weeksellaceae,Chryseobacterium pennae,Gram negative,9.0
415851,Bacteroidota,Weeksellaceae,Chryseobacterium flavum,Gram negative,7.0
1122140,Pseudomonadota,Halomonadaceae,Kushneria indalinina,Gram negative,33.0
680125,Pseudomonadota,Sphingomonadaceae,Parasphingopyxis lamellibrachiae,Gram negative,33.0
2135608,Bacillota,Paenibacillaceae,Paenibacillus sp. VMFN-D1,Gram positive,19.0
1938805,Pseudomonadota,Burkholderiaceae,Paraburkholderia sp. BL27I4N3,Gram negative,33.0
44752,Actinomycetota,Nocardiaceae,Rhodococcus wratislaviensis,Gram positive,17.0
1853311,Bacteroidota,Flavobacteriaceae,Lutibacter oceani,Gram negative,28.0
1938807,Pseudomonadota,Burkholderiaceae,Paraburkholderia sp. BL6669N2,Gram negative,33.0
561505,Bacteroidota,Flavobacteriaceae,Tenacibaculum gallaicum,Gram negative,27.0
1882945,Bacillota,Paenibacillaceae,Brevibacillus sp.,Gram positive,13.0
1737063,Bacteroidota,Crocinitomicaceae,Brumimicrobium aurantiacum,Gram negative,27.0
2014741,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. GL93,Gram negative,33.0
1758642,Bacillota,Bacillaceae,Bacillus sp. V59.32b,Gram positive,14.0
67828,Pseudomonadota,Enterobacteriaceae,Citrobacter gillenii,Gram negative,33.0
585543,Bacteroidota,Bacteroidaceae,Bacteroides sp. D20,Gram negative,28.0
469591,Bacteroidota,Tannerellaceae,Parabacteroides sp. 20_3,Gram negative,27.0
1827501,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. YM1C-6-2,Gram negative,33.0
303682,Pseudomonadota,Zoogloeaceae,Thauera sp. 28,Gram negative,33.0
930946,Bacillota,Lactobacillaceae,Fructobacillus fructosus,Gram positive,12.0
2448483,Pseudomonadota,Yersiniaceae,Serratia sp. 3ACOL1,Gram negative,33.0
2478662,Pseudomonadota,Comamonadaceae,Acidovorax sp. 1608163,Gram negative,33.0
323284,Pseudomonadota,Alcaligenaceae,Alcaligenes aquatilis,Gram negative,33.0
2479367,Pseudomonadota,Enterobacteriaceae,Buttiauxella sp. 3AFRM03,Gram negative,33.0
143221,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
482957,Pseudomonadota,Burkholderiaceae,Burkholderia lata,Gram negative,33.0
1522758,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI95-16,Gram positive,23.0
2080757,Actinomycetota,Corynebacteriaceae,Corynebacterium pseudopelargi,Gram positive,17.0
2079234,Actinomycetota,Corynebacteriaceae,Corynebacterium gerontici,Gram positive,17.0
1862358,Actinomycetota,Corynebacteriaceae,Corynebacterium choanae,Gram positive,17.0
1241981,Bacteroidota,Weeksellaceae,Chryseobacterium lactis,Gram negative,9.0
2014076,Bacillota,Bacillaceae,Bacillus sp. FJAT-42376,Gram positive,19.0
2219813,Cyanobacteriota,Synechococcaceae,Synechococcus elongatus,Gram negative,14.0
658630,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. CMR5c,Gram negative,33.0
658644,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. R5-89-07,Gram negative,33.0
658642,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. R4-34-07,Gram negative,33.0
2488560,Pseudomonadota,Alcaligenaceae,Pigmentiphaga sp. H8,Gram negative,33.0
150120,Pseudomonadota,Shewanellaceae,Shewanella livingstonensis,Gram negative,33.0
2490853,Actinomycetota,Nocardiaceae,Rhodococcus sp. NJ-530,Gram positive,21.0
1978337,Bacteroidota,Dysgonomonadaceae,Petrimonas sp. IBARAKI,Gram negative,28.0
2231112,Campylobacterota,Hydrogenimonadaceae,Hydrogenimonas sp.,Gram negative,33.0
2320086,Bacteroidota,Tannerellaceae,Parabacteroides sp. CH2-D42-20,Gram negative,27.0
1343740,Actinomycetota,Streptomycetaceae,Streptomyces rapamycinicus,Gram positive,23.0
2479857,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae bacterium YIM 102668,Gram negative,14.0
442714,Bacteroidota,Flavobacteriaceae,Ulvibacter antarcticus,Gram negative,28.0
2135635,Pseudomonadota,Comamonadaceae,Acidovorax sp. 100,Gram negative,33.0
2135662,Pseudomonadota,Sphingomonadaceae,Sphingomonas sp. PP-F2F-G114-C0414,Gram negative,33.0
2135659,Pseudomonadota,Sphingomonadaceae,Sphingomonas sp. PP-CE-3A-406,Gram negative,33.0
2479847,Bacteroidota,Flavobacteriaceae,Dokdonia sinensis,Gram negative,28.0
38290,Actinomycetota,Corynebacteriaceae,Corynebacterium macginleyi,Gram positive,17.0
943815,Actinomycetota,Streptomycetaceae,Streptomyces shenzhenensis,Gram positive,23.0
2041036,Actinomycetota,Corynebacteriaceae,Corynebacterium gottingense,Gram positive,17.0
2482750,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. AOB-7,Gram negative,33.0
2483351,Actinomycetota,Thermomonosporaceae,Actinomadura harenae,Gram positive,22.0
199201,Pseudomonadota,Pseudomonadaceae,Pseudomonas syringae,Gram negative,33.0
29438,Pseudomonadota,Pseudomonadaceae,Pseudomonas savastanoi,Gram negative,33.0
235276,Pseudomonadota,Pseudomonadaceae,Pseudomonas coronafaciens,Gram negative,33.0
81036,Pseudomonadota,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Gram negative,33.0
97473,Pseudomonadota,Pseudomonadaceae,Pseudomonas marginalis,Gram negative,33.0
251706,Pseudomonadota,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Gram negative,33.0
192088,Pseudomonadota,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Gram negative,33.0
36746,Pseudomonadota,Pseudomonadaceae,Pseudomonas cichorii,Gram negative,33.0
235275,Pseudomonadota,Pseudomonadaceae,Pseudomonas coronafaciens,Gram negative,33.0
663959,Pseudomonadota,Pseudomonadaceae,Pseudomonas syringae,Gram negative,33.0
322,Pseudomonadota,Pseudomonadaceae,Pseudomonas amygdali,Gram negative,33.0
1550736,Pseudomonadota,Comamonadaceae,Corticibacter populi,Gram negative,33.0
2382159,Bacteroidota,Dysgonomonadaceae,Proteiniphilum sp. X52,Gram negative,28.0
1883156,Bacteroidota,Flavobacteriaceae,Winogradskyella sp.,Gram negative,28.0
1576874,Actinomycetota,Corynebacteriaceae,Corynebacterium alimapuense,Gram positive,17.0
2066070,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium japonicum,Gram negative,33.0
2487137,Actinomycetota,Nocardiopsaceae,Nocardiopsaceae bacterium YIM 96095,Gram positive,22.0
1172565,Pseudomonadota,Pectobacteriaceae,Lonsdalea populi,Gram negative,33.0
56438,Actinomycetota,Micromonosporaceae,Couchioplanes caeruleus,Gram positive,17.0
103734,Actinomycetota,Pseudonocardiaceae,Saccharothrix texasensis,Gram positive,17.0
1520461,Actinomycetota,Streptomycetaceae,Streptomyces sp. PanSC9,Gram positive,23.0
2485118,Pseudomonadota,Enterobacteriaceae,Enterobacter sp. BIGb0383,Gram negative,33.0
306545,Pseudomonadota,Cellvibrionaceae,Marinimicrobium koreense,Gram negative,33.0
1520455,Actinomycetota,Streptomycetaceae,Streptomyces sp. PanSC19,Gram positive,23.0
2485141,Pseudomonadota,Marinobacteraceae,Marinobacter sp. 3-2,Gram negative,33.0
2485152,Actinomycetota,Streptomycetaceae,Streptomyces sp. 840.1,Gram positive,23.0
2485153,Actinomycetota,Streptomycetaceae,Streptomyces sp. CEV 2-1,Gram positive,23.0
2485161,Actinomycetota,Streptomycetaceae,Streptomyces sp. 2132.2,Gram positive,23.0
2485126,Pseudomonadota,Erwiniaceae,Erwinia sp. JUb26,Gram negative,33.0
2485130,Pseudomonadota,Comamonadaceae,Comamonas sp. BIGb0124,Gram negative,33.0
2485119,Pseudomonadota,Enterobacteriaceae,Raoultella sp. BIGb0399,Gram negative,33.0
2485133,Pseudomonadota,Enterobacteriaceae,Enterobacter sp. BIGb0359,Gram negative,33.0
2486468,Bacteroidota,Muribaculaceae,Muribaculaceae bacterium Isolate-080 (Janvier),Gram negative,28.0
2486473,Bacteroidota,Muribaculaceae,Muribaculaceae bacterium Isolate-110 (HZI),Gram negative,28.0
2484250,Pseudomonadota,Marinobacteraceae,Marinobacter sp. R17,Gram negative,33.0
1351,Bacillota,Enterococcaceae,Enterococcus faecalis,Gram positive,12.0
2487347,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. SSM44,Gram negative,33.0
2487742,Pseudomonadota,Shewanellaceae,Shewanella psychromarinicola,Gram negative,33.0
2487897,Bacteroidota,Cyclobacteriaceae,Cyclobacteriaceae bacterium YHN15,Gram negative,28.0
1938851,Actinomycetota,Streptomycetaceae,Streptomyces sp. Ag109_O5-1,Gram positive,23.0
762213,Pseudomonadota,Roseobacteraceae,Pacificibacter maritimus,Gram negative,33.0
2485151,Actinomycetota,Streptomycetaceae,Streptomyces sp. TLI_185,Gram positive,23.0
2485154,Actinomycetota,Streptomycetaceae,Streptomyces sp. Ag109_G2-6,Gram positive,23.0
1522757,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI93-02,Gram positive,23.0
1522755,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI91-18,Gram positive,23.0
1522761,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI96-15,Gram positive,23.0
1522759,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI95-17,Gram positive,23.0
1522762,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI97-07,Gram positive,23.0
1522764,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI98-12,Gram positive,23.0
1522760,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI96-02,Gram positive,23.0
1522763,Actinomycetota,Streptomycetaceae,Streptomyces sp. ADI98-10,Gram positive,23.0
2489596,Pseudomonadota,Nitrobacteraceae,Bradyrhizobium sp. RP6,Gram negative,33.0
2153362,Bacteroidota,Weeksellaceae,Chryseobacterium sp. KBW03,Gram negative,9.0
2144188,Actinomycetota,Nocardiaceae,Rhodococcus sp. KBW08,Gram positive,21.0
2153360,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. KBW05,Gram negative,33.0
2153366,Pseudomonadota,Chromobacteriaceae,Aquitalea sp. FJL05,Gram negative,33.0
2153363,Pseudomonadota,Oxalobacteraceae,Herminiimonas sp. KBW02,Gram negative,33.0
2153358,Pseudomonadota,Comamonadaceae,Variovorax sp. KBW07,Gram negative,34.0
2153361,Pseudomonadota,Sphaerotilaceae,Paucibacter sp. KBW04,Gram negative,33.0
2305219,Pseudomonadota,Paracoccaceae,Paracoccus sp. BP8,Gram negative,29.0
2184574,Pseudomonadota,Burkholderiaceae,Burkholderia sp. Bp9143,Gram negative,33.0
2184571,Pseudomonadota,Burkholderiaceae,Burkholderia sp. Bp9131,Gram negative,33.0
2184573,Pseudomonadota,Burkholderiaceae,Burkholderia sp. Bp9142,Gram negative,33.0
2184554,Pseudomonadota,Burkholderiaceae,Burkholderia sp. Bp8992,Gram negative,33.0
2487322,Pseudomonadota,Vibrionaceae,Vibrio viridaestus,Gram negative,33.0
2483111,Pseudomonadota,Halomonadaceae,Halomonas sp. YLB-10,Gram negative,33.0
2184559,Pseudomonadota,Burkholderiaceae,Burkholderia sp. Bp9004,Gram negative,33.0
2025312,Bacteroidota,Spirosomataceae,Larkinella rosea,Gram negative,28.0
452629,Pseudomonadota,Oceanospirillaceae,Amphritea balenae,Gram negative,33.0
2487907,Pseudomonadota,Brucellaceae,Brucellaceae bacterium VT-16-1752,Gram negative,33.0
2491052,Bacillota,Streptococcaceae,Streptococcus sp. OH4692_COT-348,Gram positive,28.0
2491043,Bacteroidota,Prevotellaceae,Alloprevotella sp. OH1205_COT-284,Gram negative,27.0
425306,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium tamadayense,Gram negative,33.0
2528527,Pseudomonadota,Aestuariirhabdaceae,Aestuariirhabdus litorea,Gram negative,33.0
2483814,Pseudomonadota,Paracoccaceae,Rhodobacteraceae bacterium THAF1,Gram negative,29.0
216895,Pseudomonadota,Vibrionaceae,Vibrio vulnificus,Gram negative,33.0
2059878,Uroviricota,Herelleviridae,Bacillus phage BCP01,NA,14.0
1920110,Pseudomonadota,Enterobacteriaceae,Citrobacter sp. CFNIH10,Gram negative,33.0
1636609,Pseudomonadota,Aeromonadaceae,Aeromonas sp. ASNIH4,Gram negative,33.0
2072414,Pseudomonadota,Lysobacteraceae,Stenotrophomonas sp. ESTM1D_MKCIP4_1,Gram negative,33.0
2358479,Bacteroidota,Flavobacteriaceae,Tenacibaculum singaporense,Gram negative,27.0
2203204,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC 01438,Gram positive,23.0
2493668,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,Gram negative,33.0
2493672,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,Gram negative,33.0
2493673,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,Gram negative,33.0
2493678,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1,Gram negative,33.0
2497879,Pseudomonadota,Colwelliaceae,Colwellia sp. Arc7-635,Gram negative,30.0
1803865,Pseudomonadota,Piscirickettsiaceae,Thiomicrospira sp. S5,Gram negative,33.0
2500155,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
2500154,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
2500153,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
1680158,Pseudomonadota,Lysobacteraceae,Xanthomonas sp. ISO98C4,Gram negative,33.0
2500560,Uroviricota,Fam_of_Sejongvirinae,Yihwangvirus pW4,NA,14.0
2500532,Pseudomonadota,Paracoccaceae,Paracoccus sp. Arc7-R13,Gram negative,29.0
2015795,Pseudomonadota,Enterobacteriaceae,Klebsiella sp. LY,Gram negative,33.0
1353976,Chlamydiota,Parachlamydiaceae,Neochlamydia sp. S13,Gram negative,14.0
28150,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
2292367,Bacillota,Lachnospiraceae,Roseburia sp. OF03-24,Gram positive,16.0
2292231,Bacillota,Lachnospiraceae,Coprococcus sp. AF21-14LB,Gram positive,15.0
2292066,Bacillota,Lachnospiraceae,Roseburia sp. AM23-20,Gram positive,16.0
2292053,Bacteroidota,Tannerellaceae,Parabacteroides sp. AM08-6,Gram negative,27.0
2293017,Bacillota,Clostridiaceae,Clostridium sp. AF37-7,Gram positive,16.0
2291989,Bacillota,Clostridiaceae,Clostridiaceae bacterium AF31-3BH,Gram positive,16.0
2293010,Bacillota,Clostridiaceae,Clostridium sp. AF32-7AC,Gram positive,16.0
2292054,Bacteroidota,Prevotellaceae,Prevotella sp. AM23-5,Gram negative,28.0
2292179,Bacillota,Clostridiaceae,Clostridiaceae bacterium AF29-16BH,Gram positive,16.0
2293003,Bacillota,Clostridiaceae,Clostridium sp. AF21-20LB,Gram positive,16.0
2293002,Bacillota,Clostridiaceae,Clostridium sp. AF20-7,Gram positive,16.0
2292204,Bacillota,Clostridiaceae,Clostridium sp. AF19-22AC,Gram positive,14.0
2292205,Bacillota,Clostridiaceae,Clostridium sp. AF20-17LB,Gram positive,16.0
2292241,Bacteroidota,Tannerellaceae,Parabacteroides sp. AF17-28,Gram negative,27.0
2292306,Bacillota,Clostridiaceae,Clostridium sp. AM45-5,Gram positive,16.0
2293046,Bacillota,Clostridiaceae,Clostridium sp. OM05-9BH,Gram positive,16.0
2293042,Bacillota,Clostridiaceae,Clostridium sp. OM04-7,Gram positive,16.0
2293054,Bacillota,Clostridiaceae,Clostridium sp. TM06-18,Gram positive,16.0
2293093,Bacillota,Lachnospiraceae,Coprococcus sp. OM04-5BH,Gram positive,22.0
2293040,Bacillota,Clostridiaceae,Clostridium sp. OF13-4,Gram positive,16.0
1038928,Actinomycetota,Streptomycetaceae,Streptomyces xinghaiensis,Gram positive,23.0
72022,Pseudomonadota,Paracoccaceae,Paracoccus methylarcula,Gram negative,29.0
1986590,Verrucomicrobiota,Verrucomicrobiaceae,Roseibacillus sp. TMED18,Gram negative,14.0
1986665,Rhodothermota,Rhodothermaceae,Rhodothermaceae bacterium TMED105,Gram negative,28.0
1986716,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae bacterium TMED42,Gram negative,28.0
1986719,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae bacterium TMED81,Gram negative,28.0
1986724,Bacteroidota,Crocinitomicaceae,Crocinitomicaceae bacterium TMED209,Gram negative,28.0
1986649,Pseudomonadota,Alteromonadaceae,Alteromonadaceae bacterium TMED101,Gram negative,34.0
2492472,Pseudomonadota,Caulobacteraceae,Caulobacter sp. 602-1,Gram negative,33.0
2492662,Actinomycetota,Pseudonocardiaceae,Saccharopolyspora rhizosphaerae,Gram positive,17.0
2491711,Bacteroidota,Flavobacteriaceae,Flavobacteriaceae bacterium 14752,Gram negative,28.0
224729,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
2490848,Actinomycetota,Streptomycetaceae,Streptomyces sp. RP5T,Gram positive,23.0
2479851,Pseudomonadota,Lysobacteraceae,Stenotrophomonas sp. 278,Gram negative,33.0
998465,Pseudomonadota,Pseudoalteromonadaceae,Pseudoalteromonas sp. J010,Gram negative,33.0
2479849,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. v388,Gram negative,33.0
2555782,Pseudomonadota,Caulobacteraceae,Brevundimonas sp. 357,Gram negative,29.0
2022746,Pseudomonadota,Erwiniaceae,Erwinia sp. 198,Gram negative,33.0
321269,Bacteroidota,Flavobacteriaceae,Tenacibaculum litoreum,Gram negative,27.0
2494697,Bacteroidota,Flavobacteriaceae,Mangrovimonas spongiae,Gram negative,28.0
2487416,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC06614,Gram positive,23.0
2487415,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC00469,Gram positive,23.0
2487418,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC05292,Gram positive,23.0
2487420,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC05374,Gram positive,23.0
2487409,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC05858,Gram positive,23.0
2487421,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC08241,Gram positive,23.0
2495592,Pseudomonadota,Comamonadaceae,Variovorax sp. DXTD-1,Gram negative,34.0
2487419,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC05950,Gram positive,23.0
2014784,Pseudomonadota,Neisseriaceae,Neisseriaceae bacterium,Gram negative,33.0
2487423,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC04770,Gram positive,23.0
1679495,Pseudomonadota,Comamonadaceae,Variovorax gossypii,Gram negative,34.0
2496849,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. C 49-2,Gram negative,33.0
2497686,Pseudomonadota,Alcaligenaceae,Candidimonas sp. SYP-B2681,Gram negative,33.0
2490854,Bacteroidota,Prevotellaceae,Prevotella koreensis,Gram negative,28.0
1184720,Pseudomonadota,Rhizobiaceae,Rhizobium anhuiense,Gram negative,33.0
2320850,Actinomycetota,Mycobacteriaceae,Mycolicibacterium sp.,Gram positive,21.0
2498109,Pseudomonadota,Legionellaceae,Legionella septentrionalis,Gram negative,33.0
1258546,Pseudomonadota,Halomonadaceae,Vreelandella nanhaiensis,Gram negative,33.0
447567,Pseudomonadota,Halomonadaceae,Vreelandella andesensis,Gram negative,33.0
2495580,Pseudomonadota,Sphingomonadaceae,Sphingomonas sp. TF3,Gram negative,33.0
232991,Cyanobacteriota,Calotrichaceae,Dulcicalothrix desertica,Gram negative,15.0
2498107,Pseudomonadota,Legionellaceae,Legionella sp. km535,Gram negative,33.0
2498450,Pseudomonadota,Pseudomonadaceae,Pseudomonas sp. PAMC 29040,Gram negative,33.0
2496787,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M2C.T.Ca.TU.009.01.2.1,Gram negative,33.0
2496790,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.T.Ca.TU.009.01.3.2,Gram negative,11.0
2496788,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M2C.T.Ca.TU.002.02.1.1,Gram negative,33.0
2496770,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M5C.F.Ca.IN.020.29.1.1,Gram negative,33.0
2496742,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.008.03.1.1,Gram negative,33.0
2496768,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M5C.F.Cr.IN.023.01.1.1,Gram negative,33.0
2496750,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M1E.F.Ca.ET.063.01.1.1,Gram negative,33.0
2496743,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.010.02.1.1,Gram negative,33.0
2496738,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7D.F.Ca.US.004.01.2.1,Gram negative,33.0
2496739,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.09.1.1,Gram negative,33.0
2496736,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.005.03.1.1,Gram negative,33.0
2496726,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.04.1.1,Gram negative,33.0
2496721,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.001.05.1.1,Gram negative,33.0
2496722,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.003.01.2.1,Gram negative,33.0
2496717,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.15.1.1,Gram negative,33.0
2496709,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.003.02.2.1,Gram negative,33.0
2496705,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.06.1.1,Gram negative,33.0
2496701,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.01.1.1,Gram negative,33.0
2496703,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.02.1.1,Gram negative,33.0
2496682,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.001.06.1.1,Gram negative,33.0
2496710,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.003.02.1.1,Gram negative,33.0
2499626,Pseudomonadota,Chromatiaceae,Rheinheimera sp. YQF-1,Gram negative,33.0
2499834,Pseudomonadota,Paracoccaceae,Rhodobacteraceae bacterium CCMM004,Gram negative,29.0
2494256,Actinomycetota,Streptomycetaceae,Streptomyces sp. San01,Gram positive,23.0
2499835,Pseudomonadota,Sphaerotilaceae,Rubrivivax albus,Gram negative,33.0
2499851,Pseudomonadota,Sphaerotilaceae,Inhella crocodyli,Gram negative,33.0
2494255,Pseudomonadota,Rhizobiaceae,Rhizobium sp. RMa-01,Gram negative,33.0
1871066,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp.,Gram negative,33.0
2502784,Bacteroidota,Flavobacteriaceae,Flavobacterium cerinum,Gram negative,28.0
2496746,Pseudomonadota,Phyllobacteriaceae,Mesorhizobium sp. M2A.F.Ca.ET.039.01.1.1,Gram negative,33.0
1160765,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
985008,Pseudomonadota,Pasteurellaceae,Aggregatibacter aphrophilus,Gram negative,33.0
43990,Actinomycetota,Corynebacteriaceae,Corynebacterium segmentosum,Gram positive,17.0
43768,Actinomycetota,Corynebacteriaceae,Corynebacterium matruchotii,Gram positive,17.0
2358187,Pseudomonadota,Alteromonadaceae,Alteromonas sp. 76-1,Gram negative,33.0
1395119,Pseudomonadota,Enterobacteriaceae,Salmonella enterica,Gram negative,33.0
1431450,Campylobacterota,Helicobacteraceae,Helicobacter pylori,Gram negative,33.0
2072413,Pseudomonadota,Lysobacteraceae,Stenotrophomonas sp. SAU14A_NAIMI4_5,Gram negative,33.0
2203210,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC 06738,Gram positive,23.0
2203205,Actinomycetota,Streptomycetaceae,Streptomyces sp. WAC 01529,Gram positive,23.0
2305221,Actinomycetota,Streptomycetaceae,Streptomyces sp. KPB2,Gram positive,23.0
2305220,Actinomycetota,Streptomycetaceae,Streptomyces sp. W1SF4,Gram positive,23.0
44935,Pseudomonadota,Halomonadaceae,Vreelandella venusta,Gram negative,33.0
