Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
N-acetylmuramoyl-L-alanine amidase [Alicyclobacillus fructus],Alicyclobacillus fructus,126,126,97%,5e-33,35.87,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206830583.1?report=genbank&log$=prottop&blast_rank=1590&RID=96KSZWM4016"",""WP_206830583.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus norwichensis],Bacillus norwichensis,126,126,88%,5e-33,40.12,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191812987.1?report=genbank&log$=prottop&blast_rank=1591&RID=96KSZWM4016"",""WP_191812987.1"")"
N-acetylmuramoyl-L-alanine amidase [Methylomusa anaerophila],Methylomusa anaerophila,127,127,100%,5e-33,38.10,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_126309998.1?report=genbank&log$=prottop&blast_rank=1592&RID=96KSZWM4016"",""WP_126309998.1"")"
N-acetylmuramoyl-L-alanine amidase [Candidatus Soleaferrea massiliensis],Candidatus Soleaferrea massiliensis,128,128,96%,5e-33,39.46,328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052446655.1?report=genbank&log$=prottop&blast_rank=1593&RID=96KSZWM4016"",""WP_052446655.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Metabacillus kandeliae],Metabacillus kandeliae,125,125,88%,5e-33,39.52,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_269448751.1?report=genbank&log$=prottop&blast_rank=1594&RID=96KSZWM4016"",""WP_269448751.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Geobacillus],Geobacillus,126,126,88%,5e-33,41.32,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063166971.1?report=genbank&log$=prottop&blast_rank=1595&RID=96KSZWM4016"",""WP_063166971.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Gottfriedia acidiceleris],Gottfriedia acidiceleris,126,126,98%,5e-33,41.18,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_088014584.1?report=genbank&log$=prottop&blast_rank=1596&RID=96KSZWM4016"",""WP_088014584.1"")"
N-acetylmuramoyl-L-alanine amidase [Moorella stamsii],Moorella stamsii,126,126,98%,5e-33,36.36,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054936006.1?report=genbank&log$=prottop&blast_rank=1597&RID=96KSZWM4016"",""WP_054936006.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulfitibacter alkalitolerans],Desulfitibacter alkalitolerans,126,126,100%,6e-33,39.68,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084295517.1?report=genbank&log$=prottop&blast_rank=1598&RID=96KSZWM4016"",""WP_084295517.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridium],Clostridium,125,125,100%,6e-33,41.88,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002582643.1?report=genbank&log$=prottop&blast_rank=1599&RID=96KSZWM4016"",""WP_002582643.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Virgibacillus phasianinus],Virgibacillus phasianinus,126,126,92%,6e-33,41.95,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_089060859.1?report=genbank&log$=prottop&blast_rank=1600&RID=96KSZWM4016"",""WP_089060859.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Rossellomorea vietnamensis],Rossellomorea vietnamensis,126,126,87%,6e-33,43.64,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_034765929.1?report=genbank&log$=prottop&blast_rank=1601&RID=96KSZWM4016"",""WP_034765929.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Halobacillus mangrovi],Halobacillus mangrovi,126,126,89%,6e-33,40.83,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085026847.1?report=genbank&log$=prottop&blast_rank=1602&RID=96KSZWM4016"",""WP_085026847.1"")"
N-acetylmuramoyl-L-alanine amidase [Blautia liquoris],Blautia liquoris,125,125,98%,6e-33,40.11,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193736485.1?report=genbank&log$=prottop&blast_rank=1603&RID=96KSZWM4016"",""WP_193736485.1"")"
N-acetylmuramoyl-L-alanine amidase [Sporolituus thermophilus],Sporolituus thermophilus,125,125,95%,6e-33,39.89,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093690166.1?report=genbank&log$=prottop&blast_rank=1604&RID=96KSZWM4016"",""WP_093690166.1"")"
N-acetylmuramoyl-L-alanine amidase [Agathobaculum],Agathobaculum,125,125,98%,6e-33,36.36,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159068016.1?report=genbank&log$=prottop&blast_rank=1605&RID=96KSZWM4016"",""WP_159068016.1"")"
N-acetylmuramoyl-L-alanine amidase [Acidaminococcus massiliensis],Acidaminococcus massiliensis,129,129,99%,6e-33,38.62,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083236189.1?report=genbank&log$=prottop&blast_rank=1606&RID=96KSZWM4016"",""WP_083236189.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Sediminibacillus],Sediminibacillus,125,125,88%,6e-33,42.51,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026569076.1?report=genbank&log$=prottop&blast_rank=1607&RID=96KSZWM4016"",""WP_026569076.1"")"
N-acetylmuramoyl-L-alanine amidase [Sporosarcina quadrami],Sporosarcina quadrami,125,125,98%,6e-33,39.58,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191693640.1?report=genbank&log$=prottop&blast_rank=1608&RID=96KSZWM4016"",""WP_191693640.1"")"
N-acetylmuramoyl-L-alanine amidase [Lysinibacillus parviboronicapiens],Lysinibacillus parviboronicapiens,125,125,99%,7e-33,37.82,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_107950594.1?report=genbank&log$=prottop&blast_rank=1609&RID=96KSZWM4016"",""WP_107950594.1"")"
N-acetylmuramoyl-L-alanine amidase [Alicyclobacillus acidoterrestris],Alicyclobacillus acidoterrestris,126,126,100%,7e-33,34.39,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_021296649.1?report=genbank&log$=prottop&blast_rank=1610&RID=96KSZWM4016"",""WP_021296649.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridium fallax],Clostridium fallax,125,125,96%,7e-33,43.24,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072892730.1?report=genbank&log$=prottop&blast_rank=1611&RID=96KSZWM4016"",""WP_072892730.1"")"
N-acetylmuramoyl-L-alanine amidase [Christensenella intestinihominis],Christensenella intestinihominis,125,125,99%,7e-33,36.70,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066686695.1?report=genbank&log$=prottop&blast_rank=1612&RID=96KSZWM4016"",""WP_066686695.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Domibacillus enclensis],Domibacillus enclensis,125,125,87%,7e-33,41.21,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045851883.1?report=genbank&log$=prottop&blast_rank=1613&RID=96KSZWM4016"",""WP_045851883.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Oceanobacillus oncorhynchi],Oceanobacillus oncorhynchi,125,125,88%,7e-33,41.32,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042530998.1?report=genbank&log$=prottop&blast_rank=1614&RID=96KSZWM4016"",""WP_042530998.1"")"
N-acetylmuramoyl-L-alanine amidase [Alicyclobacillus],Alicyclobacillus,126,126,100%,7e-33,34.39,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223204221.1?report=genbank&log$=prottop&blast_rank=1615&RID=96KSZWM4016"",""WP_223204221.1"")"
N-acetylmuramoyl-L-alanine amidase [Mediterraneibacter catenae],Mediterraneibacter catenae,125,125,100%,7e-33,37.57,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150311587.1?report=genbank&log$=prottop&blast_rank=1616&RID=96KSZWM4016"",""WP_150311587.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus],Bacillus,125,125,87%,8e-33,39.39,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168746786.1?report=genbank&log$=prottop&blast_rank=1617&RID=96KSZWM4016"",""WP_168746786.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Litoribacterium kuwaitense],Litoribacterium kuwaitense,125,125,100%,8e-33,44.21,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165204720.1?report=genbank&log$=prottop&blast_rank=1618&RID=96KSZWM4016"",""WP_165204720.1"")"
N-acetylmuramoyl-L-alanine amidase [Thermohalobacter berrensis],Thermohalobacter berrensis,125,125,98%,8e-33,42.78,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183108820.1?report=genbank&log$=prottop&blast_rank=1619&RID=96KSZWM4016"",""WP_183108820.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulfofundulus thermosubterraneus],Desulfofundulus thermosubterraneus,125,125,98%,8e-33,35.64,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084062266.1?report=genbank&log$=prottop&blast_rank=1620&RID=96KSZWM4016"",""WP_084062266.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Amphibacillus cookii],Amphibacillus cookii,125,125,88%,8e-33,40.72,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_204439624.1?report=genbank&log$=prottop&blast_rank=1621&RID=96KSZWM4016"",""WP_204439624.1"")"
N-acetylmuramoyl-L-alanine amidase [Bacillaceae],Bacillaceae,125,125,99%,8e-33,36.79,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144541050.1?report=genbank&log$=prottop&blast_rank=1622&RID=96KSZWM4016"",""WP_144541050.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus smithii],Bacillus smithii,125,125,88%,8e-33,39.88,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048622386.1?report=genbank&log$=prottop&blast_rank=1623&RID=96KSZWM4016"",""WP_048622386.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Geobacillus stearothermophilus],Geobacillus stearothermophilus,125,125,88%,8e-33,41.32,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033017232.1?report=genbank&log$=prottop&blast_rank=1624&RID=96KSZWM4016"",""WP_033017232.1"")"
N-acetylmuramoyl-L-alanine amidase [Sporosarcina],Sporosarcina,125,125,100%,8e-33,38.66,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029053234.1?report=genbank&log$=prottop&blast_rank=1625&RID=96KSZWM4016"",""WP_029053234.1"")"
N-acetylmuramoyl-L-alanine amidase [Sporosarcina luteola],Sporosarcina luteola,125,125,98%,8e-33,40.10,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147060764.1?report=genbank&log$=prottop&blast_rank=1626&RID=96KSZWM4016"",""WP_147060764.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Fredinandcohnia onubensis],Fredinandcohnia onubensis,125,125,88%,9e-33,40.72,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099364846.1?report=genbank&log$=prottop&blast_rank=1627&RID=96KSZWM4016"",""WP_099364846.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus],Bacillus,125,125,87%,9e-33,41.21,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008345202.1?report=genbank&log$=prottop&blast_rank=1628&RID=96KSZWM4016"",""WP_008345202.1"")"
N-acetylmuramoyl-L-alanine amidase [Clostridium collagenovorans],Clostridium collagenovorans,125,125,95%,1e-32,40.11,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084666161.1?report=genbank&log$=prottop&blast_rank=1629&RID=96KSZWM4016"",""WP_084666161.1"")"
N-acetylmuramoyl-L-alanine amidase [Halalkalibacillus halophilus],Halalkalibacillus halophilus,125,125,98%,1e-32,40.00,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027964716.1?report=genbank&log$=prottop&blast_rank=1630&RID=96KSZWM4016"",""WP_027964716.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Pueribacillus theae],Pueribacillus theae,125,125,88%,1e-32,40.12,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_116553426.1?report=genbank&log$=prottop&blast_rank=1631&RID=96KSZWM4016"",""WP_116553426.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Paenibacillus agaridevorans],Paenibacillus agaridevorans,126,126,88%,1e-32,40.83,264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_214627429.1?report=genbank&log$=prottop&blast_rank=1632&RID=96KSZWM4016"",""WP_214627429.1"")"
N-acetylmuramoyl-L-alanine amidase [Oscillibacter hominis],Oscillibacter hominis,125,125,100%,1e-32,36.65,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243208583.1?report=genbank&log$=prottop&blast_rank=1633&RID=96KSZWM4016"",""WP_243208583.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,125,125,98%,1e-32,38.50,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186852587.1?report=genbank&log$=prottop&blast_rank=1634&RID=96KSZWM4016"",""WP_186852587.1"")"
N-acetylmuramoyl-L-alanine amidase [Oscillospiraceae],Oscillospiraceae,125,125,98%,1e-32,36.51,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136891741.1?report=genbank&log$=prottop&blast_rank=1635&RID=96KSZWM4016"",""WP_136891741.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Saccharococcus thermophilus],Saccharococcus thermophilus,125,125,87%,1e-32,41.21,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166907200.1?report=genbank&log$=prottop&blast_rank=1636&RID=96KSZWM4016"",""WP_166907200.1"")"
N-acetylmuramoyl-L-alanine amidase [Acidaminococcus timonensis],Acidaminococcus timonensis,128,128,99%,1e-32,38.62,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071143237.1?report=genbank&log$=prottop&blast_rank=1637&RID=96KSZWM4016"",""WP_071143237.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Cytobacillus kochii],Cytobacillus kochii,125,125,88%,1e-32,40.72,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_224938745.1?report=genbank&log$=prottop&blast_rank=1638&RID=96KSZWM4016"",""WP_224938745.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Virgibacillus oceani],Virgibacillus oceani,125,125,92%,1e-32,41.38,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188456409.1?report=genbank&log$=prottop&blast_rank=1639&RID=96KSZWM4016"",""WP_188456409.1"")"
N-acetylmuramoyl-L-alanine amidase [Dysosmobacter welbionis],Dysosmobacter welbionis,125,125,98%,1e-32,36.51,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119310954.1?report=genbank&log$=prottop&blast_rank=1640&RID=96KSZWM4016"",""WP_119310954.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulfosporosinus lacus],Desulfosporosinus lacus,125,125,98%,1e-32,39.04,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073026923.1?report=genbank&log$=prottop&blast_rank=1641&RID=96KSZWM4016"",""WP_073026923.1"")"
N-acetylmuramoyl-L-alanine amidase [Anaerostipes hadrus],Anaerostipes hadrus,124,124,99%,1e-32,40.96,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015530666.1?report=genbank&log$=prottop&blast_rank=1642&RID=96KSZWM4016"",""WP_015530666.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Gottfriedia solisilvae],Gottfriedia solisilvae,125,125,98%,1e-32,41.71,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_088003868.1?report=genbank&log$=prottop&blast_rank=1643&RID=96KSZWM4016"",""WP_088003868.1"")"
N-acetylmuramoyl-L-alanine amidase [Heliobacterium mobile],Heliobacterium mobile,126,126,98%,1e-32,37.43,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_155476523.1?report=genbank&log$=prottop&blast_rank=1644&RID=96KSZWM4016"",""WP_155476523.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus],Bacillus,125,125,87%,1e-32,40.00,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044153395.1?report=genbank&log$=prottop&blast_rank=1645&RID=96KSZWM4016"",""WP_044153395.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulfofundulus thermobenzoicus],Desulfofundulus thermobenzoicus,124,124,98%,2e-32,35.29,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194174932.1?report=genbank&log$=prottop&blast_rank=1646&RID=96KSZWM4016"",""WP_194174932.1"")"
N-acetylmuramoyl-L-alanine amidase [Methylomusa anaerophila],Methylomusa anaerophila,125,125,98%,2e-32,39.57,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232035764.1?report=genbank&log$=prottop&blast_rank=1647&RID=96KSZWM4016"",""WP_232035764.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Margalitia camelliae],Margalitia camelliae,124,124,88%,2e-32,40.12,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101356156.1?report=genbank&log$=prottop&blast_rank=1648&RID=96KSZWM4016"",""WP_101356156.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Siminovitchia thermophila],Siminovitchia thermophila,124,124,88%,2e-32,40.72,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077113882.1?report=genbank&log$=prottop&blast_rank=1649&RID=96KSZWM4016"",""WP_077113882.1"")"
N-acetylmuramoyl-L-alanine amidase [Caldicellulosiruptor danielii],Caldicellulosiruptor danielii,123,123,98%,2e-32,41.49,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045174539.1?report=genbank&log$=prottop&blast_rank=1650&RID=96KSZWM4016"",""WP_045174539.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Clostridium neonatale],Clostridium neonatale,124,124,100%,2e-32,41.36,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058293561.1?report=genbank&log$=prottop&blast_rank=1651&RID=96KSZWM4016"",""WP_058293561.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Geobacillus],Geobacillus,124,124,88%,2e-32,40.72,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008881909.1?report=genbank&log$=prottop&blast_rank=1652&RID=96KSZWM4016"",""WP_008881909.1"")"
N-acetylmuramoyl-L-alanine amidase [Thermanaerosceptrum fracticalcis],Thermanaerosceptrum fracticalcis,124,124,100%,2e-32,38.10,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051965905.1?report=genbank&log$=prottop&blast_rank=1653&RID=96KSZWM4016"",""WP_051965905.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulforamulus ruminis],Desulforamulus ruminis,125,125,100%,2e-32,36.51,271,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013840413.1?report=genbank&log$=prottop&blast_rank=1654&RID=96KSZWM4016"",""WP_013840413.1"")"
N-acetylmuramoyl-L-alanine amidase [Eubacteriales],Eubacteriales,124,124,99%,2e-32,36.17,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242996227.1?report=genbank&log$=prottop&blast_rank=1655&RID=96KSZWM4016"",""WP_242996227.1"")"
N-acetylmuramoyl-L-alanine amidase [Merdibacter massiliensis],Merdibacter massiliensis,124,124,98%,2e-32,40.64,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202613434.1?report=genbank&log$=prottop&blast_rank=1656&RID=96KSZWM4016"",""WP_202613434.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Lederbergia ruris],Lederbergia ruris,124,124,88%,2e-32,40.12,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212967009.1?report=genbank&log$=prottop&blast_rank=1657&RID=96KSZWM4016"",""WP_212967009.1"")"
divergent polysaccharide deacetylase family protein [Thermanaerosceptrum fracticalcis],Thermanaerosceptrum fracticalcis,129,129,98%,2e-32,39.57,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051965696.1?report=genbank&log$=prottop&blast_rank=1658&RID=96KSZWM4016"",""WP_051965696.1"")"
N-acetylmuramoyl-L-alanine amidase [Desulfosporosinus nitroreducens],Desulfosporosinus nitroreducens,124,124,98%,2e-32,39.04,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252473054.1?report=genbank&log$=prottop&blast_rank=1659&RID=96KSZWM4016"",""WP_252473054.1"")"
N-acetylmuramoyl-L-alanine amidase [Paradesulfitobacterium ferrireducens],Paradesulfitobacterium ferrireducens,124,124,98%,2e-32,38.30,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206811357.1?report=genbank&log$=prottop&blast_rank=1660&RID=96KSZWM4016"",""WP_206811357.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Oceanobacillus manasiensis],Oceanobacillus manasiensis,124,124,92%,2e-32,40.23,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042225564.1?report=genbank&log$=prottop&blast_rank=1661&RID=96KSZWM4016"",""WP_042225564.1"")"
N-acetylmuramoyl-L-alanine amidase [Alicyclobacillus pomorum],Alicyclobacillus pomorum,124,124,98%,3e-32,37.97,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051375460.1?report=genbank&log$=prottop&blast_rank=1662&RID=96KSZWM4016"",""WP_051375460.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Oceanobacillus jeddahense],Oceanobacillus jeddahense,124,124,88%,3e-32,39.88,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_040984886.1?report=genbank&log$=prottop&blast_rank=1663&RID=96KSZWM4016"",""WP_040984886.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Desulfofarcimen acetoxidans],Desulfofarcimen acetoxidans,124,124,100%,3e-32,36.32,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015755996.1?report=genbank&log$=prottop&blast_rank=1664&RID=96KSZWM4016"",""WP_015755996.1"")"
N-acetylmuramoyl-L-alanine amidase [Mediterraneibacter],Mediterraneibacter,124,124,98%,3e-32,36.90,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020436677.1?report=genbank&log$=prottop&blast_rank=1665&RID=96KSZWM4016"",""WP_020436677.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Niallia taxi],Niallia taxi,124,124,88%,3e-32,41.92,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127742475.1?report=genbank&log$=prottop&blast_rank=1666&RID=96KSZWM4016"",""WP_127742475.1"")"
N-acetylmuramoyl-L-alanine amidase [Amedibacillus dolichus],Amedibacillus dolichus,124,124,99%,3e-32,37.23,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004800960.1?report=genbank&log$=prottop&blast_rank=1667&RID=96KSZWM4016"",""WP_004800960.1"")"
N-acetylmuramoyl-L-alanine amidase [Selenihalanaerobacter shriftii],Selenihalanaerobacter shriftii,127,127,98%,3e-32,41.18,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078808791.1?report=genbank&log$=prottop&blast_rank=1668&RID=96KSZWM4016"",""WP_078808791.1"")"
N-acetylmuramoyl-L-alanine amidase [Thermincola ferriacetica],Thermincola ferriacetica,124,124,99%,3e-32,34.54,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_052216888.1?report=genbank&log$=prottop&blast_rank=1669&RID=96KSZWM4016"",""WP_052216888.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Sporolactobacillus pectinivorans],Sporolactobacillus pectinivorans,124,124,88%,3e-32,40.12,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_100486415.1?report=genbank&log$=prottop&blast_rank=1670&RID=96KSZWM4016"",""WP_100486415.1"")"
N-acetylmuramoyl-L-alanine amidase [Alkaliphilus flagellatus],Alkaliphilus flagellatus,124,124,98%,3e-32,36.27,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_216419354.1?report=genbank&log$=prottop&blast_rank=1671&RID=96KSZWM4016"",""WP_216419354.1"")"
N-acetylmuramoyl-L-alanine amidase [Caldicellulosiruptor owensensis],Caldicellulosiruptor owensensis,122,122,98%,4e-32,42.02,190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013411840.1?report=genbank&log$=prottop&blast_rank=1672&RID=96KSZWM4016"",""WP_013411840.1"")"
N-acetylmuramoyl-L-alanine amidase [Orenia metallireducens],Orenia metallireducens,127,127,98%,4e-32,40.43,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068716740.1?report=genbank&log$=prottop&blast_rank=1673&RID=96KSZWM4016"",""WP_068716740.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Weizmannia acidilactici],Weizmannia acidilactici,124,124,88%,4e-32,41.32,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151680406.1?report=genbank&log$=prottop&blast_rank=1674&RID=96KSZWM4016"",""WP_151680406.1"")"
N-acetylmuramoyl-L-alanine amidase [Acidaminococcus hominis],Acidaminococcus hominis,127,127,98%,4e-32,39.36,364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_255668137.1?report=genbank&log$=prottop&blast_rank=1675&RID=96KSZWM4016"",""WP_255668137.1"")"
N-acetylmuramoyl-L-alanine amidase [Heliorestis acidaminivorans],Heliorestis acidaminivorans,124,124,98%,4e-32,37.43,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151621425.1?report=genbank&log$=prottop&blast_rank=1676&RID=96KSZWM4016"",""WP_151621425.1"")"
N-acetylmuramoyl-L-alanine amidase CwlD [Parageobacillus thermoglucosidasius],Parageobacillus thermoglucosidasius,123,123,88%,4e-32,39.52,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003247635.1?report=genbank&log$=prottop&blast_rank=1677&RID=96KSZWM4016"",""WP_003247635.1"")"
N-acetylmuramoyl-L-alanine amidase [Alkaliphilus transvaalensis],Alkaliphilus transvaalensis,124,124,100%,5e-32,38.86,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_034328437.1?report=genbank&log$=prottop&blast_rank=1678&RID=96KSZWM4016"",""WP_034328437.1"")"
